%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
2026 266 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.14970 87.49 27.16 101.30 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 28.91
2026 266 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.92440 87.31 26.89 101.30 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 25.32
2026 266 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.18170 88.67 26.65 101.30 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 18.40
2026 266 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.31330 90.20 26.46 101.30 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 27.80
2026 266 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.66330 92.63 26.18 101.30 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 15.78
2026 266 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.30500 94.04 26.00 101.30 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 30.22
2026 266 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.68170 94.70 25.93 101.30 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 30.52
2026 266 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.42000 93.90 25.93 101.30 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 29.67
2026 266 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.92670 88.93 26.79 101.30 0.00 77.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 15.62
2026 266 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.17170 80.73 28.23 101.30 0.00 266.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 125.24
2026 266 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.66670 71.04 29.77 101.30 0.00 520.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 191.38
2026 266 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.73830 65.22 31.44 101.30 0.00 764.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 238.10
2026 266 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.20000 61.12 32.10 101.30 0.00 975.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 298.85
2026 266 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.31330 65.99 31.96 101.30 0.00 1024.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 224.02
2026 266 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.39330 68.18 31.56 101.30 0.00 894.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 203.02
2026 266 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.44830 64.08 32.20 101.30 0.00 790.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 204.12
2026 266 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.44500 59.18 32.47 101.30 0.00 654.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 185.78
2026 266 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.18830 57.49 32.48 101.30 0.00 415.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 192.92
2026 266 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.15670 62.48 31.60 101.30 0.00 194.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 169.58
2026 266 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.47330 68.61 30.28 101.30 0.00 26.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 62.10
2026 266 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.53670 79.50 28.56 101.30 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 28.68
2026 266 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.32670 83.23 27.91 101.30 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 38.82
2026 266 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.84170 86.34 27.56 101.30 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 39.37
2026 266 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.37500 87.67 27.43 101.30 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 32.50
