cell_id,label,note,path,clip_p_arcade,clip_sg,near_frac
0,1,covered shophouse frontage,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\165777_103.85772746910469_1.306800261352751_202301_baseheading42.61_viewheading132.61_2.jpg,0.9379672,0.96066487,0.06617852161785216
1,1,covered market walkway,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\14165_103.8520018779592_1.3061420879625898_202403_baseheading300.75_viewheading30.75_2.jpg,0.7683967,0.9917158,0.03677253708634462
2,1,corner covered frontage,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\165926_103.85606259933603_1.3061051499227678_202406_baseheading136.78_viewheading226.78_2.jpg,0.65358007,0.9745245,0.26585520476733865
3,1,classic shophouse five-foot way,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\159169_103.8516792222466_1.3070335905291917_202402_baseheading130.93_viewheading40.93_4.jpg,0.59656304,0.14506042,0.30129326740205403
4,1,covered carpark walkway,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\5177_103.85363661599533_1.313463972538569_201805_baseheading314.16_viewheading44.16_2.jpg,0.5422337,0.9106597,0.03727970077342462
5,1,covered market stalls,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\79170_103.85509828009366_1.3087719401169546_202406_baseheading34.07_viewheading304.07_4.jpg,0.5102639,0.9802164,0.582670850767085
6,1,old shophouse ground cover,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\123890_103.8516311364725_1.3234071517984638_202402_baseheading44.51_viewheading314.51_4.jpg,0.4833188,0.9880775,0.30429187270191455
7,1,blue shophouse ground walkway,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\121289_103.87734379979685_1.3119215413931902_202102_baseheading57.12_viewheading327.12_4.jpg,0.46884668,0.9955059,0.17278115886902498
8,1,covered five-foot way left,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\32323_103.87759842386664_1.3117807197622213_202406_baseheading169.52_viewheading259.52_2.jpg,0.43418062,0.9790714,0.27416001014327374
9,1,red awning shophouse row,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\158949_103.8539625535714_1.3075254530284952_202406_baseheading282.86_viewheading12.86_2.jpg,0.4076037,0.8226889,0.3282299987320908
10,1,green shop covered corner,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\37405_103.8785466376893_1.3143346220628596_202406_baseheading77.21_viewheading167.21_2.jpg,0.3769662,0.99266344,0.3126727526309116
11,1,green ground floor covered,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\14075_103.85352592912207_1.3076151598621033_202406_baseheading279.46_viewheading9.46_2.jpg,0.35655168,0.9879719,0.0
12,1,cream shophouse terrace,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\150387_103.85110928733927_1.3087860038318115_202402_baseheading36.83_viewheading126.83_2.jpg,0.3298098,0.1469454,0.052485102066692026
13,1,HDB covered linkway+pavilion,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\130709_103.87853451366661_1.3101618841094582_202406_baseheading350.79_viewheading80.79_2.jpg,0.31217134,0.9730298,0.303753011284392
14,1,covered frontage right,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\94773_103.87757279269015_1.3102436883797401_202406_baseheading350.74_viewheading80.74_2.jpg,0.29464805,0.9822381,0.2355680233295296
15,1,covered ground floor greenery,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\48888_103.86396751983861_1.3251856888431741_202404_baseheading296.16_viewheading26.16_2.jpg,0.28139096,0.9845968,0.09816470140737923
16,1,HDB ground covered partial,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\9963_103.87461366079695_1.3291055234232771_202404_baseheading213.87_viewheading303.87_2.jpg,0.26530272,0.536339,0.2950519842779257
17,0,blurred unclear/open,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\56531_103.8497633737356_1.3185283029354_202202_baseheading80.33_viewheading170.33_2.jpg,0.24586008,0.17492098,0.3309338151388361
18,1,shophouse covered right,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\123892_103.85188788736926_1.323659992148802_202406_baseheading319.74_viewheading49.74_2.jpg,0.23183663,0.66093636,0.2842620768352986
19,0,open corner,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\57512_103.85992800023885_1.3175244548358218_202406_baseheading38.75_viewheading128.75_2.jpg,0.21729015,0.55427676,0.05273551413718778
