cell_id,label,note
0,1,covered shophouse frontage
1,1,covered market walkway
2,1,corner covered frontage
3,1,classic shophouse five-foot way
4,1,covered carpark walkway
5,1,covered market stalls
6,1,old shophouse ground cover
7,1,blue shophouse ground walkway
8,1,covered five-foot way left
9,1,red awning shophouse row
10,1,green shop covered corner
11,1,green ground floor covered
12,1,cream shophouse terrace
13,1,HDB covered linkway+pavilion
14,1,covered frontage right
15,1,covered ground floor greenery
16,1,HDB ground covered partial
17,0,blurred unclear/open
18,1,shophouse covered right
19,0,open corner
20,1,HDB covered linkway partial
21,1,red banner shophouse covered
22,0,open road trees
23,0,HDB open base
24,0,open field barrier
25,0,open road trees
26,0,open road car
27,0,open road HDB
28,0,open road glass building
29,0,open house greenery
30,0,open road residential
31,0,open corner tiled roof
