rank,path,pid,region_tier,strict_score
1,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\160828_103.84804617430932_1.2792560753075566_202406_baseheading31.26_viewheading121.26_2.jpg,160828,3,0.15873361308635042
2,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\160199_103.84307936627374_1.2745566335675622_202402_baseheading336.80_viewheading66.80_2.jpg,160199,3,0.14410871487034058
3,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\159023_103.85317300213252_1.3023217059873373_202403_baseheading219.71_viewheading129.71_4.jpg,159023,3,0.13827318748167952
4,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\125259_103.85348610154985_1.2995209103061578_202406_baseheading40.35_viewheading130.35_2.jpg,125259,1,0.14345401054885662
5,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\14128_103.85395955772549_1.314555271390802_202406_baseheading152.57_viewheading62.57_4.jpg,14128,1,0.1319760670514183
6,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\17363_103.85207650856266_1.2994063391169464_202406_baseheading220.78_viewheading310.78_2.jpg,17363,1,0.15558905074891433
7,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\101380_103.85355602409284_1.3240921620561097_202406_baseheading312.32_viewheading312.32_1.jpg,101380,1,0.178773922316579
8,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\30341_103.85403829565443_1.29905774723757_202403_baseheading129.18_viewheading219.18_2.jpg,30341,1,0.13691482625255358
9,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\165519_103.84070391561238_1.3009174726157924_202403_baseheading193.92_viewheading103.92_4.jpg,165519,1,0.16694138881250334
10,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\6278_103.85565966830215_1.2985361129829873_202406_baseheading216.96_viewheading216.96_1.jpg,6278,1,0.12981167740873364
11,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\121384_103.85197409941382_1.3008483956019001_202403_baseheading221.78_viewheading311.78_2.jpg,121384,3,0.17099821224347464
12,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\162901_103.84208662232051_1.283704069795386_202402_baseheading307.69_viewheading217.69_4.jpg,162901,3,0.16573088409208278
13,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\117214_103.85477601537157_1.2959817383693677_202406_baseheading130.30_viewheading40.30_4.jpg,117214,1,0.21197828591049664
14,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\126635_103.85431535536725_1.2967175276881504_202406_baseheading217.72_viewheading127.72_4.jpg,126635,1,0.16881455961325728
15,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\66722_103.85435600048775_1.2967719173827124_202406_baseheading217.72_viewheading127.72_4.jpg,66722,3,0.16881455961325728
16,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\34798_103.85048572365353_1.2920214750125774_202403_baseheading296.94_viewheading26.94_2.jpg,34798,1,0.16833108961640178
17,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\160864_103.85214109591224_1.2808001103709863_202402_baseheading349.07_viewheading79.07_2.jpg,160864,3,0.20120969616677173
18,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\54959_103.8598598914812_1.3153143815456816_202301_baseheading319.38_viewheading229.38_4.jpg,54959,1,0.1395953312868129
19,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\100022_103.83195907425024_1.3064127542521244_202406_baseheading119.11_viewheading29.11_4.jpg,100022,1,0.17358475905019244
20,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\116467_103.84001681335114_1.3009443503015587_202406_baseheading105.97_viewheading15.97_4.jpg,116467,3,0.12539722166719494
21,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\137933_103.85119396378045_1.2925449858849656_202403_baseheading299.28_viewheading29.28_2.jpg,137933,1,0.14883979234006603
22,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\165524_103.84103954574674_1.3017477988906196_202403_baseheading214.45_viewheading34.45_3.jpg,165524,1,0.13621699715447602
23,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\33526_103.84342692383693_1.2808701340198443_202402_baseheading181.07_viewheading91.07_4.jpg,33526,3,0.15123828079259116
24,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\35656_103.86059166535549_1.3129728261113882_202406_baseheading224.63_viewheading44.63_3.jpg,35656,1,0.226081208119646
25,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\74113_103.86121374120577_1.310478528114908_202301_baseheading138.59_viewheading48.59_4.jpg,74113,1,0.20424967261820962
26,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\160039_103.84522270685919_1.274262494272728_202406_baseheading40.05_viewheading130.05_2.jpg,160039,3,0.1495852106915161
27,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\160912_103.85112553238856_1.2816771417095068_202406_baseheading125.32_viewheading35.32_4.jpg,160912,3,0.14759586498235047
28,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\33523_103.83674263141158_1.3034824977066704_202406_baseheading297.82_viewheading27.82_2.jpg,33523,3,0.10500301322015901
29,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\126637_103.85409947246556_1.2964289900141288_202406_baseheading216.05_viewheading216.05_1.jpg,126637,1,0.21353305971083503
