rank,path,pid,view_idx,sim
1,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\162078_103.82927336927963_1.2952216107143035_202406_baseheading285.59_viewheading15.59_2.jpg,162078,2,0.98637146
2,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\54365_103.89534559144487_1.3144253623892148_202406_baseheading331.79_viewheading61.79_2.jpg,54365,2,0.95988685
3,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\150413_103.85273233392343_1.3099655166002266_202402_baseheading310.37_viewheading220.37_4.jpg,150413,4,0.95860606
4,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\16624_103.87209277363853_1.3281449535199747_202406_baseheading130.26_viewheading40.26_4.jpg,16624,4,0.95640224
5,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\18228_103.85529876450114_1.297472762636703_202403_baseheading307.47_viewheading37.47_2.jpg,18228,2,0.95615387
6,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\6891_103.84220806168103_1.294321021295156_202402_baseheading143.49_viewheading233.49_2.jpg,6891,2,0.9560595
7,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\53617_103.85639355885877_1.3088746588667537_202403_baseheading131.56_viewheading221.56_2.jpg,53617,2,0.9559316
8,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\131357_103.8856251673213_1.3352571573793381_202403_baseheading113.75_viewheading203.75_2.jpg,131357,2,0.9554598
9,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\82665_103.8626379345069_1.3083045324043712_202406_baseheading138.79_viewheading228.79_2.jpg,82665,2,0.95533174
10,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\77963_103.85872648011981_1.3076230607449555_202406_baseheading316.09_viewheading226.09_4.jpg,77963,4,0.95528764
11,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\131355_103.88595478386578_1.3351115121840056_202403_baseheading113.60_viewheading23.60_4.jpg,131355,4,0.9551921
12,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\165712_103.84977572670547_1.2804313683336082_202406_baseheading126.73_viewheading216.73_2.jpg,165712,2,0.9551902
13,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\160963_103.84977572670547_1.2804313683336082_202406_baseheading126.73_viewheading216.73_2.jpg,160963,2,0.9551902
14,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\150453_103.85540804149664_1.3118116697541946_202406_baseheading144.39_viewheading234.39_2.jpg,150453,2,0.9548528
15,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\155310_103.85704036153886_1.3006165256750295_202406_baseheading130.53_viewheading220.53_2.jpg,155310,2,0.95481795
16,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\66147_103.7855169130356_1.27967679946657_202408_baseheading353.78_viewheading83.78_2.jpg,66147,2,0.95472145
17,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\65356_103.85723328327771_1.3129531835229968_202406_baseheading307.80_viewheading37.80_2.jpg,65356,2,0.9546242
18,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\53846_103.94148571043463_1.3524360461885878_202407_baseheading176.81_viewheading266.81_2.jpg,53846,2,0.9546234
