rank,path,pid,tunnel
1,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\56256_103.84014581665834_1.354731413551027_201908_baseheading209.07_viewheading299.07_2.jpg,56256,-0.8188988119363785
2,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\135326_103.8438873262654_1.2824612040909857_202110_baseheading313.97_viewheading133.97_3.jpg,135326,-0.6707060933113098
3,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\39862_103.84904214214669_1.2882237883078438_201807_baseheading346.98_viewheading256.98_4.jpg,39862,-0.5975018739700317
4,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\133966_103.84953622562095_1.2807886946647542_202406_baseheading211.04_viewheading121.04_4.jpg,133966,-0.5727690607309341
5,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\137934_103.85103843029293_1.2926359486882972_202403_baseheading121.35_viewheading121.35_1.jpg,137934,-0.5601654648780823
6,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\22274_103.8494831670182_1.2986529615957492_202402_baseheading312.12_viewheading132.12_3.jpg,22274,-0.5225132256746292
7,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\165832_103.85719414752012_1.3089719710817331_202210_baseheading212.68_viewheading122.68_4.jpg,165832,-0.5177563726902008
8,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\1545_103.90152170266866_1.311171329484627_202111_baseheading322.36_viewheading322.36_1.jpg,1545,-0.4774506092071533
9,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\62690_103.861037505255_1.3352599932535878_202403_baseheading5.93_viewheading95.93_2.jpg,62690,-0.4539644867181778
10,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\80215_103.86114062612153_1.3027135462441246_201807_baseheading144.97_viewheading54.97_4.jpg,80215,-0.45288628339767456
11,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\33268_103.85659219706776_1.3100474768560755_202210_baseheading39.58_viewheading129.58_2.jpg,33268,-0.44351597130298615
12,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\162028_103.83571491696257_1.2757518082239696_202402_baseheading63.82_viewheading333.82_4.jpg,162028,-0.4046753942966461
13,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\121288_103.8771670354226_1.311886623585048_202102_baseheading79.38_viewheading169.38_2.jpg,121288,-0.3967297822237015
14,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\110810_103.86155909826388_1.3014622848476365_202406_baseheading151.49_viewheading151.49_1.jpg,110810,-0.3937731981277466
15,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\7324_103.85154717760672_1.3071561482785374_202402_baseheading140.83_viewheading320.83_3.jpg,7324,-0.38986459374427795
16,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\33274_103.85736729439134_1.3092938453527234_201807_baseheading210.65_viewheading120.65_4.jpg,33274,-0.3834476172924042
17,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\32156_103.84330252755812_1.2794443716717625_202406_baseheading89.71_viewheading359.71_4.jpg,32156,-0.33441609144210815
18,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\63161_103.88850548091396_1.3140152664815794_202204_baseheading267.29_viewheading87.29_3.jpg,63161,-0.331815704703331
19,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\106672_103.84409453799331_1.3262162478491317_201907_baseheading186.79_viewheading276.79_2.jpg,106672,-0.32839904725551605
20,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\53374_103.84532495356872_1.3155139149632555_202403_baseheading252.30_viewheading162.30_4.jpg,53374,-0.32205940783023834
21,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\40737_103.85260660556919_1.3238936061812672_202406_baseheading216.93_viewheading306.93_2.jpg,40737,-0.3220030814409256
22,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\162968_103.85870906629665_1.3112533500385328_201608_baseheading213.25_viewheading303.25_2.jpg,162968,-0.3215595483779907
23,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\34581_103.88132783379744_1.3454674806203857_202408_baseheading241.67_viewheading331.67_2.jpg,34581,-0.3157053738832474
24,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\165916_103.85690269461892_1.3078403029557186_202406_baseheading212.61_viewheading122.61_4.jpg,165916,-0.3145386129617691
25,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\137809_103.85435163119797_1.3074434392778975_202406_baseheading328.64_viewheading328.64_1.jpg,137809,-0.29874923825263977
26,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\161347_103.82916148725054_1.2852972478970983_202202_baseheading244.69_viewheading334.69_2.jpg,161347,-0.2970743626356125
27,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\165803_103.85605076013819_1.3071117766744846_202202_baseheading186.69_viewheading6.69_3.jpg,165803,-0.29532375931739807
28,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\42190_103.77928316168314_1.433339453170365_201910_baseheading153.12_viewheading243.12_2.jpg,42190,-0.2891981899738312
29,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\72174_103.83067531397275_1.282251537725542_202104_baseheading39.09_viewheading309.09_4.jpg,72174,-0.28803011775016785
30,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\108837_103.85412440443024_1.3041313989977485_201807_baseheading42.21_viewheading222.21_3.jpg,108837,-0.2868881970643997
31,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\158952_103.85265636759858_1.306345884434221_201807_baseheading211.93_viewheading301.93_2.jpg,158952,-0.2822204679250717
32,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\41956_103.89776230125955_1.3153335342821317_202210_baseheading236.82_viewheading326.82_2.jpg,41956,-0.28082577884197235
33,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\58778_103.84181761824672_1.2801705549887317_201807_baseheading201.03_viewheading291.03_2.jpg,58778,-0.2767314314842224
34,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\110236_103.88885876199825_1.3147718275486857_202106_baseheading216.63_viewheading36.63_3.jpg,110236,-0.27285854518413544
35,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\134094_103.85316805409809_1.3066032575324495_202203_baseheading90.50_viewheading270.50_3.jpg,134094,-0.26669691503047943
36,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\5924_103.84819565810334_1.3499810476157843_201808_baseheading330.30_viewheading60.30_2.jpg,5924,-0.26659631729125977
37,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\10336_103.85100726442755_1.2989425013734714_202212_baseheading36.30_viewheading126.30_2.jpg,10336,-0.26584555208683014
38,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\159086_103.85275153253984_1.307447730232765_201807_baseheading221.24_viewheading41.24_3.jpg,159086,-0.2639710009098053
39,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\31977_103.85200537505641_1.2965858723288197_202212_baseheading229.40_viewheading139.40_4.jpg,31977,-0.26366645097732544
40,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\6862_103.85288884320455_1.310358481535094_202402_baseheading25.20_viewheading115.20_2.jpg,6862,-0.26328445971012115
41,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\161089_103.85791101740706_1.314378364211722_202406_baseheading117.76_viewheading297.76_3.jpg,161089,-0.26176154613494873
42,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\107927_103.85481689337747_1.2963642881829367_202403_baseheading126.89_viewheading126.89_1.jpg,107927,-0.26095107197761536
43,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\41612_103.84020023244078_1.2784907545641304_201807_baseheading64.17_viewheading244.17_3.jpg,41612,-0.25898101925849915
44,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\41611_103.84028486666594_1.2783316887121665_201807_baseheading64.17_viewheading244.17_3.jpg,41611,-0.25898101925849915
45,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\123440_103.84045414083641_1.2780135601130154_201807_baseheading64.17_viewheading244.17_3.jpg,123440,-0.25898101925849915
46,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\109409_103.85529023129894_1.2957970053365275_202403_baseheading216.01_viewheading306.01_2.jpg,109409,-0.2566622942686081
47,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\49453_103.86044202293688_1.3118250271755747_202406_baseheading43.52_viewheading313.52_4.jpg,49453,-0.25647394359111786
48,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\1524_103.90487658611296_1.3140243712091848_202406_baseheading260.28_viewheading350.28_2.jpg,1524,-0.25615596771240234
49,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\85770_103.84197294426394_1.3252329854396572_202301_baseheading3.51_viewheading273.51_4.jpg,85770,-0.25292879343032837
50,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\153037_103.83811862108129_1.2983709528640457_202402_baseheading279.61_viewheading189.61_4.jpg,153037,-0.2522750049829483
51,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\65462_103.86076689391463_1.3110060161277979_201807_baseheading316.57_viewheading226.57_4.jpg,65462,-0.25220680236816406
52,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\161073_103.8767686547001_1.3126928126923632_202203_baseheading75.74_viewheading255.74_3.jpg,161073,-0.25006523728370667
53,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\136033_103.89602141488733_1.3046778323253327_202301_baseheading344.20_viewheading74.20_2.jpg,136033,-0.24531012773513794
