PT_CODE,STN_NAM_DE
NS1,JURONG EAST MRT STATION
NS2,BUKIT BATOK MRT STATION
NS3,BUKIT GOMBAK MRT STATION
NS4,CHOA CHU KANG MRT STATION
NS5,YEW TEE MRT STATION
NS7,KRANJI MRT STATION
NS8,MARSILING MRT STATION
NS9,WOODLANDS MRT STATION
NS10,ADMIRALTY MRT STATION
NS11,SEMBAWANG MRT STATION
NS12,CANBERRA MRT STATION
NS13,YISHUN MRT STATION
NS14,KHATIB MRT STATION
NS15,YIO CHU KANG MRT STATION
NS16,ANG MO KIO MRT STATION
NS17,BISHAN MRT STATION
NS18,BRADDELL MRT STATION
NS19,TOA PAYOH MRT STATION
NS20,NOVENA MRT STATION
NS21,NEWTON MRT STATION
NS22,ORCHARD MRT STATION
NS23,SOMERSET MRT STATION
NS24,DHOBY GHAUT MRT STATION
NS25,CITY HALL MRT STATION
NS26,RAFFLES PLACE MRT STATION
NS27,MARINA BAY MRT STATION
NS28,MARINA SOUTH PIER MRT STATION
EW1,PASIR RIS MRT STATION
EW2,TAMPINES MRT STATION
EW3,SIMEI MRT STATION
EW4,TANAH MERAH MRT STATION
EW5,BEDOK MRT STATION
EW6,KEMBANGAN MRT STATION
EW7,EUNOS MRT STATION
EW8,PAYA LEBAR MRT STATION
EW9,ALJUNIED MRT STATION
EW10,KALLANG MRT STATION
EW11,LAVENDER MRT STATION
EW12,BUGIS MRT STATION
EW13,CITY HALL MRT STATION
EW14,RAFFLES PLACE MRT STATION
EW15,TANJONG PAGAR MRT STATION
EW16,OUTRAM PARK MRT STATION
EW17,TIONG BAHRU MRT STATION
EW18,REDHILL MRT STATION
EW19,QUEENSTOWN MRT STATION
EW20,COMMONWEALTH MRT STATION
EW21,BUONA VISTA MRT STATION
EW22,DOVER MRT STATION
EW23,CLEMENTI MRT STATION
EW24,JURONG EAST MRT STATION
EW25,CHINESE GARDEN MRT STATION
EW26,LAKESIDE MRT STATION
EW27,BOON LAY MRT STATION
EW28,PIONEER MRT STATION
EW29,JOO KOON MRT STATION
EW30,GUL CIRCLE MRT STATION
EW31,TUAS CRESCENT MRT STATION
EW32,TUAS WEST ROAD MRT STATION
EW33,TUAS LINK MRT STATION
CG1,EXPO MRT STATION
CG2,CHANGI AIRPORT MRT STATION
NE1,HARBOURFRONT MRT STATION
NE3,OUTRAM PARK MRT STATION
NE4,CHINATOWN MRT STATION
NE5,CLARKE QUAY MRT STATION
NE6,DHOBY GHAUT MRT STATION
NE7,LITTLE INDIA MRT STATION
NE8,FARRER PARK MRT STATION
NE9,BOON KENG MRT STATION
NE10,POTONG PASIR MRT STATION
NE11,WOODLEIGH MRT STATION
NE12,SERANGOON MRT STATION
NE13,KOVAN MRT STATION
NE14,HOUGANG MRT STATION
NE15,BUANGKOK MRT STATION
NE16,SENGKANG MRT STATION
NE17,PUNGGOL MRT STATION
NE18,PUNGGOL COAST MRT STATION
CC1,DHOBY GHAUT MRT STATION
CC2,BRAS BASAH MRT STATION
CC3,ESPLANADE MRT STATION
CC4,PROMENADE MRT STATION
CC5,NICOLL HIGHWAY MRT STATION
CC6,STADIUM MRT STATION
CC7,MOUNTBATTEN MRT STATION
CC8,DAKOTA MRT STATION
CC9,PAYA LEBAR MRT STATION
CC10,MACPHERSON MRT STATION
CC11,TAI SENG MRT STATION
CC12,BARTLEY MRT STATION
CC13,SERANGOON MRT STATION
CC14,LORONG CHUAN MRT STATION
CC15,BISHAN MRT STATION
CC16,MARYMOUNT MRT STATION
CC17,CALDECOTT MRT STATION
CC19,BOTANIC GARDENS MRT STATION
CC20,FARRER ROAD MRT STATION
CC21,HOLLAND VILLAGE MRT STATION
CC22,BUONA VISTA MRT STATION
CC23,ONE-NORTH MRT STATION
CC24,KENT RIDGE MRT STATION
CC25,HAW PAR VILLA MRT STATION
CC26,PASIR PANJANG MRT STATION
CC27,LABRADOR PARK MRT STATION
CC28,TELOK BLANGAH MRT STATION
CC29,HARBOURFRONT MRT STATION
CE1,BAYFRONT MRT STATION
CE2,MARINA BAY MRT STATION
DT1,BUKIT PANJANG MRT STATION
DT2,CASHEW MRT STATION
DT3,HILLVIEW MRT STATION
DT4,HUME MRT STATION
DT5,BEAUTY WORLD MRT STATION
DT6,KING ALBERT PARK MRT STATION
DT7,SIXTH AVENUE MRT STATION
DT8,TAN KAH KEE MRT STATION
DT9,BOTANIC GARDENS MRT STATION
DT10,STEVENS MRT STATION
DT11,NEWTON MRT STATION
DT12,LITTLE INDIA MRT STATION
DT13,ROCHOR MRT STATION
DT14,BUGIS MRT STATION
DT15,PROMENADE MRT STATION
DT16,BAYFRONT MRT STATION
DT17,DOWNTOWN MRT STATION
DT18,TELOK AYER MRT STATION
DT19,CHINATOWN MRT STATION
DT20,FORT CANNING MRT STATION
DT21,BENCOOLEN MRT STATION
DT22,JALAN BESAR MRT STATION
DT23,BENDEMEER MRT STATION
DT24,GEYLANG BAHRU MRT STATION
DT25,MATTAR MRT STATION
DT26,MACPHERSON MRT STATION
DT27,UBI MRT STATION
DT28,KAKI BUKIT MRT STATION
DT29,BEDOK NORTH MRT STATION
DT30,BEDOK RESERVOIR MRT STATION
DT31,TAMPINES WEST MRT STATION
DT32,TAMPINES MRT STATION
DT33,TAMPINES EAST MRT STATION
DT34,UPPER CHANGI MRT STATION
DT35,EXPO MRT STATION
BP1,CHOA CHU KANG LRT STATION
BP2,SOUTH VIEW LRT STATION
BP3,KEAT HONG LRT STATION
BP4,TECK WHYE LRT STATION
BP5,PHOENIX LRT STATION
BP6,BUKIT PANJANG LRT STATION
BP7,PETIR LRT STATION
BP8,PENDING LRT STATION
BP9,BANGKIT LRT STATION
BP10,FAJAR LRT STATION
BP11,SEGAR LRT STATION
BP12,JELAPANG LRT STATION
BP13,SENJA LRT STATION
STC,SENGKANG LRT STATION
SE1,COMPASSVALE LRT STATION
SE2,RUMBIA LRT STATION
SE3,BAKAU LRT STATION
SE4,KANGKAR LRT STATION
SE5,RANGGUNG LRT STATION
SW1,CHENG LIM LRT STATION
SW2,FARMWAY LRT STATION
SW3,KUPANG LRT STATION
SW4,THANGGAM LRT STATION
SW5,FERNVALE LRT STATION
SW6,LAYAR LRT STATION
SW7,TONGKANG LRT STATION
SW8,RENJONG LRT STATION
PTC,PUNGGOL LRT STATION
PE1,COVE LRT STATION
PE2,MERIDIAN LRT STATION
PE3,CORAL EDGE LRT STATION
PE4,RIVIERA LRT STATION
PE5,KADALOOR LRT STATION
PE6,OASIS LRT STATION
PE7,DAMAI LRT STATION
PW1,SAM KEE LRT STATION
PW2,TECK LEE LRT STATION
PW3,PUNGGOL POINT LRT STATION
PW4,SAMUDERA LRT STATION
PW5,NIBONG LRT STATION
PW6,SUMANG LRT STATION
PW7,SOO TECK LRT STATION
TE1,WOODLANDS NORTH MRT STATION
TE2,WOODLANDS MRT STATION
TE3,WOODLANDS SOUTH MRT STATION
TE4,SPRINGLEAF MRT STATION
TE5,LENTOR MRT STATION
TE6,MAYFLOWER MRT STATION
TE7,BRIGHT HILL MRT STATION
TE8,UPPER THOMSON MRT STATION
TE9,CALDECOTT MRT STATION
TE11,STEVENS MRT STATION
TE12,NAPIER MRT STATION
TE13,ORCHARD BOULEVARD MRT STATION
TE14,ORCHARD MRT STATION
TE15,GREAT WORLD MRT STATION
TE16,HAVELOCK MRT STATION
TE17,OUTRAM PARK MRT STATION
TE18,MAXWELL MRT STATION
TE19,SHENTON WAY MRT STATION
TE20,MARINA BAY MRT STATION
TE22,GARDENS BY THE BAY MRT STATION
TE23,TANJONG RHU MRT STATION
TE24,KATONG PARK MRT STATION
TE25,TANJONG KATONG MRT STATION
TE26,MARINE PARADE MRT STATION
TE27,MARINE TERRACE MRT STATION
TE28,SIGLAP MRT STATION
TE29,BAYSHORE MRT STATION
