DAY_TYPE,WEEKDAY,WEEKDAY,WEEKDAY,WEEKDAY,WEEKDAY,WEEKDAY,WEEKDAY,WEEKDAY,WEEKDAY,WEEKDAY,WEEKDAY,WEEKDAY,WEEKDAY,WEEKDAY,WEEKDAY,WEEKDAY,WEEKDAY,WEEKDAY,WEEKDAY,WEEKDAY,WEEKDAY,WEEKDAY,WEEKDAY,WEEKDAY,WEEKENDS/HOLIDAY,WEEKENDS/HOLIDAY,WEEKENDS/HOLIDAY,WEEKENDS/HOLIDAY,WEEKENDS/HOLIDAY,WEEKENDS/HOLIDAY,WEEKENDS/HOLIDAY,WEEKENDS/HOLIDAY,WEEKENDS/HOLIDAY,WEEKENDS/HOLIDAY,WEEKENDS/HOLIDAY,WEEKENDS/HOLIDAY,WEEKENDS/HOLIDAY,WEEKENDS/HOLIDAY,WEEKENDS/HOLIDAY,WEEKENDS/HOLIDAY,WEEKENDS/HOLIDAY,WEEKENDS/HOLIDAY,WEEKENDS/HOLIDAY,WEEKENDS/HOLIDAY,WEEKENDS/HOLIDAY,WEEKENDS/HOLIDAY,WEEKENDS/HOLIDAY,WEEKENDS/HOLIDAY
HOUR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
archetype,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hdb,0.027784000000000003,0.027784000000000003,0.024763999999999998,0.022348,0.020536000000000002,0.019932000000000002,0.019932000000000002,0.019932000000000002,0.019328,0.017516,0.016006000000000003,0.00302,0.00302,0.00302,0.00302,0.00302,0.00302,0.00302,0.02114,0.02416,0.02869,0.0302,0.0302,0.0302,0.027784000000000003,0.027784000000000003,0.024763999999999998,0.022348,0.020536000000000002,0.019932000000000002,0.019932000000000002,0.019932000000000002,0.019328,0.017516,0.016006000000000003,0.00302,0.00302,0.00302,0.00302,0.00302,0.00302,0.00302,0.02114,0.02416,0.02869,0.0302,0.0302,0.0302
landed_property,0.0065320000000000005,0.0065320000000000005,0.005822,0.005254,0.004828000000000001,0.004686,0.004686,0.004686,0.004544,0.004118,0.0037630000000000003,0.0007100000000000001,0.0007100000000000001,0.0007100000000000001,0.0007100000000000001,0.0007100000000000001,0.0007100000000000001,0.0007100000000000001,0.00497,0.005680000000000001,0.006745,0.0071,0.0071,0.0071,0.0065320000000000005,0.0065320000000000005,0.005822,0.005254,0.004828000000000001,0.004686,0.004686,0.004686,0.004544,0.004118,0.0037630000000000003,0.0007100000000000001,0.0007100000000000001,0.0007100000000000001,0.0007100000000000001,0.0007100000000000001,0.0007100000000000001,0.0007100000000000001,0.00497,0.005680000000000001,0.006745,0.0071,0.0071,0.0071
private_apartment,0.025575999999999998,0.025575999999999998,0.022795999999999997,0.020572,0.018904,0.018348,0.018348,0.018348,0.017792,0.016124,0.014734,0.00278,0.00278,0.00278,0.00278,0.00278,0.00278,0.00278,0.019459999999999998,0.02224,0.026409999999999996,0.0278,0.0278,0.0278,0.025575999999999998,0.025575999999999998,0.022795999999999997,0.020572,0.018904,0.018348,0.018348,0.018348,0.017792,0.016124,0.014734,0.00278,0.00278,0.00278,0.00278,0.00278,0.00278,0.00278,0.019459999999999998,0.02224,0.026409999999999996,0.0278,0.0278,0.0278
hotel,0.021447960000000002,0.021447960000000002,0.01911666,0.01725162,0.01585284,0.01538658,0.01538658,0.01538658,0.01492032,0.013521539999999999,0.012355890000000001,0.0023313,0.0023313,0.0023313,0.0023313,0.0023313,0.0023313,0.0023313,0.0163191,0.0186504,0.02214735,0.023313,0.023313,0.023313,0.021447960000000002,0.021447960000000002,0.01911666,0.01725162,0.01585284,0.01538658,0.01538658,0.01538658,0.01492032,0.013521539999999999,0.012355890000000001,0.0023313,0.0023313,0.0023313,0.0023313,0.0023313,0.0023313,0.0023313,0.0163191,0.0186504,0.02214735,0.023313,0.023313,0.023313
retail,0.017400000000000002,0.017400000000000002,0.017400000000000002,0.017400000000000002,0.017400000000000002,0.017400000000000002,0.017400000000000002,0.017400000000000002,0.017400000000000002,0.052000000000000005,0.082,0.10600000000000001,0.12,0.12,0.12,0.11399999999999999,0.11599999999999999,0.124,0.124,0.124,0.11599999999999999,0.1,0.07600000000000001,0.017400000000000002,0.017400000000000002,0.017400000000000002,0.017400000000000002,0.017400000000000002,0.017400000000000002,0.017400000000000002,0.017400000000000002,0.017400000000000002,0.017400000000000002,0.074,0.11200000000000002,0.146,0.168,0.168,0.168,0.166,0.17400000000000002,0.17400000000000002,0.17400000000000002,0.16200000000000003,0.13999999999999999,0.11200000000000002,0.072,0.017400000000000002
office,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.02945062,0.03562575,0.038475810000000006,0.03895082,0.03942583,0.04085086,0.04085086,0.04085086,0.038475810000000006,0.037050780000000005,0.02802559,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001
business_park,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.02945062,0.03562575,0.038475810000000006,0.03895082,0.03942583,0.04085086,0.04085086,0.04085086,0.038475810000000006,0.037050780000000005,0.02802559,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001,0.004085086000000001
hospital,0.011540849999999998,0.011540849999999998,0.009232679999999998,0.0076939,0.0076939,0.01231024,0.0153878,0.02846743,0.03693071999999999,0.04616339999999999,0.046932789999999995,0.05231852,0.056165469999999995,0.06078181,0.06078181,0.06078181,0.056165469999999995,0.05308790999999999,0.04308584,0.03385316,0.02846743,0.02846743,0.01769597,0.01769597,0.00615512,0.00615512,0.006924509999999999,0.006924509999999999,0.006924509999999999,0.00615512,0.006078181,0.006078181,0.01077146,0.01077146,0.01077146,0.0153878,0.0153878,0.01923475,0.01923475,0.02154292,0.02154292,0.02154292,0.014618409999999998,0.014618409999999998,0.01923475,0.01923475,0.01923475,0.011540849999999998
