rank,path,pid,viewheading,probe_score,shophouse_score
1,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\24126_103.85888864791033_1.3010203517089054_202202_baseheading142.21_viewheading142.21_1.jpg,24126,142.21,0.9882,0.9999775886535645
2,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\137512_103.90130458870658_1.3109414340335157_202406_baseheading144.05_viewheading324.05_3.jpg,137512,324.05,0.9849,0.9999550580978394
3,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\155326_103.86013801743823_1.3008315354497064_202406_baseheading323.17_viewheading323.17_1.jpg,155326,323.17,0.9803,0.9999440908432007
4,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\159253_103.85421818782494_1.304371749695482_202403_baseheading312.69_viewheading312.69_1.jpg,159253,312.69,0.9867,0.9999145269393921
5,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\163303_103.84696687399628_1.2843638626731462_202110_baseheading304.64_viewheading124.64_3.jpg,163303,124.64,0.981,0.9999117851257324
6,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\162721_103.84567490202052_1.281785843866018_202406_baseheading34.15_viewheading124.15_2.jpg,162721,124.15,0.9755,0.9998953342437744
7,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\155325_103.8600311394597_1.300976594041401_202406_baseheading323.63_viewheading143.63_3.jpg,155325,143.63,0.9825,0.9998942613601685
8,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\74544_103.85863109606284_1.3032090957697207_202406_baseheading332.64_viewheading152.64_3.jpg,74544,152.64,0.982,0.9998931884765625
9,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\162840_103.84463643254638_1.2826003625072915_202402_baseheading121.12_viewheading301.12_3.jpg,162840,301.12,0.9828,0.9998856782913208
10,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\138558_103.90432738075678_1.3063190922831949_202407_baseheading326.27_viewheading326.27_1.jpg,138558,326.27,0.9839,0.9998847246170044
11,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\70178_103.90452577555372_1.3065003452841044_202407_baseheading326.27_viewheading326.27_1.jpg,70178,326.27,0.9839,0.9998847246170044
12,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\164414_103.8485794375027_1.2835642235890747_202110_baseheading316.01_viewheading316.01_1.jpg,164414,316.01,0.9867,0.9998815059661865
13,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\31306_103.85971766161842_1.3014365028018924_202104_baseheading144.92_viewheading324.92_3.jpg,31306,324.92,0.9757,0.9998553991317749
14,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\27390_103.84362049277716_1.2838134955899478_202110_baseheading127.28_viewheading307.28_3.jpg,27390,307.28,0.9897,0.9998459815979004
15,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\166110_103.85333905455023_1.304710038880777_202403_baseheading223.96_viewheading313.96_2.jpg,166110,313.96,0.9779,0.9998427629470825
16,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\150473_103.85632753533015_1.308295080192366_202403_baseheading302.57_viewheading122.57_3.jpg,150473,122.57,0.9831,0.9998369216918945
17,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\29628_103.85844657887405_1.3027618075258387_202406_baseheading144.62_viewheading144.62_1.jpg,29628,144.62,0.9775,0.9998316764831543
18,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\17796_103.84425806692948_1.277497905722936_202403_baseheading10.26_viewheading280.26_4.jpg,17796,280.26,0.9865,0.9998258948326111
19,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\144675_103.8422236165105_1.2794192901595347_202406_baseheading222.87_viewheading132.87_4.jpg,144675,132.87,0.9768,0.9998196959495544
20,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\6456_103.8527076822014_1.3051144501576588_202406_baseheading130.43_viewheading130.43_1.jpg,6456,130.43,0.9795,0.9998146891593933
21,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\101431_103.84650554497095_1.2910355704705765_202406_baseheading306.91_viewheading306.91_1.jpg,101431,306.91,0.9819,0.9998071789741516
22,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\142320_103.84210387417703_1.2781126199823334_202402_baseheading327.05_viewheading327.05_1.jpg,142320,327.05,0.988,0.9997969269752502
23,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\135319_103.84280977244192_1.2830849087104745_202212_baseheading300.72_viewheading120.72_3.jpg,135319,120.72,0.9888,0.9997952580451965
24,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\159250_103.85382053879637_1.3047378908240663_202403_baseheading312.77_viewheading132.77_3.jpg,159250,132.77,0.9774,0.9997894167900085
25,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\40257_103.85932207475133_1.3032051521019963_202406_baseheading227.64_viewheading137.64_4.jpg,40257,137.64,0.9748,0.9997599720954895
26,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\162842_103.84432210358587_1.2827765766047596_202402_baseheading119.24_viewheading119.24_1.jpg,162842,119.24,0.9886,0.9997550845146179
27,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\165919_103.8521613104885_1.3053426719696635_202406_baseheading50.26_viewheading320.26_4.jpg,165919,320.26,0.9751,0.9997488856315613
28,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\72169_103.83011742603983_1.2829589156200838_202406_baseheading323.16_viewheading323.16_1.jpg,72169,323.16,0.9811,0.9997475743293762
29,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\33473_103.86152214403585_1.311759809954271_202406_baseheading234.94_viewheading144.94_4.jpg,33473,144.94,0.9805,0.9997326731681824
30,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\162775_103.84467293437491_1.2820203418601321_202110_baseheading289.96_viewheading19.96_2.jpg,162775,19.96,0.9827,0.9997269511222839
31,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\70201_103.86107877222163_1.3020036665570593_202406_baseheading55.61_viewheading325.61_4.jpg,70201,325.61,0.9774,0.9997203946113586
32,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\74545_103.8587429490007_1.3030678377872191_202406_baseheading322.37_viewheading322.37_1.jpg,74545,322.37,0.9772,0.9996899366378784
33,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\5822_103.84770735910519_1.281641253721616_202406_baseheading122.13_viewheading302.13_3.jpg,5822,302.13,0.9776,0.9996893405914307
34,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\72647_103.8481058938521_1.2816160386733506_202406_baseheading213.86_viewheading303.86_2.jpg,72647,303.86,0.9849,0.9996802806854248
35,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\4663_103.85209447040792_1.3050462358934403_202406_baseheading315.16_viewheading135.16_3.jpg,4663,135.16,0.9846,0.9996771812438965
36,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\150476_103.85587392447329_1.308589055134103_202403_baseheading302.39_viewheading122.39_3.jpg,150476,122.39,0.9792,0.9996689558029175
37,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\159282_103.85455220070354_1.305793948152974_202406_baseheading123.70_viewheading123.70_1.jpg,159282,123.7,0.9875,0.9996557235717773
38,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\150477_103.85572264748339_1.3086869330252444_202403_baseheading303.02_viewheading123.02_3.jpg,150477,123.02,0.9761,0.9996455907821655
39,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\133806_103.90255886700145_1.3091806421413363_202406_baseheading323.25_viewheading143.25_3.jpg,133806,143.25,0.9877,0.9996440410614014
40,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\133807_103.90270324352745_1.3092884300567118_202406_baseheading323.25_viewheading143.25_3.jpg,133807,143.25,0.9877,0.9996428489685059
41,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\133808_103.90277083670075_1.3093302271035945_202406_baseheading323.25_viewheading143.25_3.jpg,133808,143.25,0.9877,0.9996427297592163
42,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\24056_103.90255886700145_1.3091806421413363_202406_baseheading323.25_viewheading143.25_3.jpg,24056,143.25,0.9877,0.9996423721313477
43,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\139621_103.84331094414472_1.278480844670962_202402_baseheading201.88_viewheading291.88_2.jpg,139621,291.88,0.9894,0.999626636505127
44,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\160898_103.84678515098368_1.2803102784889986_202406_baseheading19.36_viewheading289.36_4.jpg,160898,289.36,0.9805,0.9996243715286255
45,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\166112_103.85310994572771_1.30443191080493_202406_baseheading219.73_viewheading129.73_4.jpg,166112,129.73,0.9808,0.9996117949485779
46,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\29475_103.85887964195294_1.3015410745595892_202406_baseheading139.82_viewheading319.82_3.jpg,29475,319.82,0.9859,0.9996095299720764
47,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\165967_103.90277092125739_1.3093301099002108_202406_baseheading323.25_viewheading143.25_3.jpg,165967,143.25,0.9867,0.9995974898338318
48,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\25261_103.85547695384696_1.3091179848851462_202406_baseheading34.73_viewheading124.73_2.jpg,25261,124.73,0.9754,0.9995937943458557
49,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\139427_103.84848400087624_1.286387334745296_202403_baseheading30.23_viewheading120.23_2.jpg,139427,120.23,0.9808,0.9995915293693542
50,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\85499_103.90249542390848_1.3097947631784503_202406_baseheading143.25_viewheading323.25_3.jpg,85499,323.25,0.9825,0.9995896220207214
51,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\135739_103.90255886700145_1.3091806421413363_202406_baseheading323.25_viewheading143.25_3.jpg,135739,143.25,0.9867,0.9995895028114319
52,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\24053_103.90224174088965_1.309618096593847_202406_baseheading143.25_viewheading323.25_3.jpg,24053,323.25,0.9825,0.9995887875556946
53,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\135738_103.90256047268808_1.3091784273077598_202406_baseheading323.25_viewheading143.25_3.jpg,135738,143.25,0.9867,0.9995848536491394
54,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\19337_103.84591269519234_1.2833466459570755_202406_baseheading211.72_viewheading301.72_2.jpg,19337,301.72,0.9799,0.9995600581169128
55,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\35678_103.85813855026963_1.3157928892661785_202406_baseheading222.72_viewheading312.72_2.jpg,35678,312.72,0.9848,0.9995549321174622
56,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\19647_103.80579037163217_1.2888547395656675_202503_baseheading39.55_viewheading309.55_4.jpg,19647,309.55,0.979,0.9995527863502502
57,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\4663_103.85209447040792_1.3050462358934403_202406_baseheading315.16_viewheading315.16_1.jpg,4663,315.16,0.9889,0.9995511174201965
58,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\24126_103.85888864791033_1.3010203517089054_202202_baseheading142.21_viewheading322.21_3.jpg,24126,322.21,0.9888,0.9995476603507996
59,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\49502_103.85474531005349_1.3093208280924764_202403_baseheading302.35_viewheading302.35_1.jpg,49502,302.35,0.9821,0.9995404481887817
