rank,path,pid,region_tier,sim_nocol
1,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\30337_103.85348610154985_1.2995209103061578_202406_baseheading40.35_viewheading130.35_2.jpg,30337,1,0.9558924
2,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\132308_103.86013662283499_1.3148361432741031_202301_baseheading8.30_viewheading8.30_1.jpg,132308,1,0.954809
3,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\10003_103.85387653780889_1.3155390598646288_202402_baseheading335.89_viewheading245.89_4.jpg,10003,3,0.9519374
4,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\159058_103.84121647935676_1.3018612171571387_202406_baseheading309.36_viewheading219.36_4.jpg,159058,3,0.95178396
5,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\49455_103.86024591960535_1.3116213347410672_202406_baseheading42.77_viewheading222.77_3.jpg,49455,1,0.95133775
6,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\165525_103.84117449723227_1.3018482421267126_202403_baseheading248.79_viewheading248.79_1.jpg,165525,1,0.9499199
7,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\111160_103.86012307002252_1.3114896124419364_202406_baseheading43.18_viewheading223.18_3.jpg,111160,1,0.94988483
8,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\87753_103.85834243714658_1.3098368030189154_202406_baseheading302.11_viewheading122.11_3.jpg,87753,1,0.948458
9,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\106889_103.85930349073205_1.311534601614726_202406_baseheading208.29_viewheading208.29_1.jpg,106889,1,0.9483717
10,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\14091_103.86321927498314_1.3097610246070763_202406_baseheading28.51_viewheading118.51_2.jpg,14091,1,0.9479606
11,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\30338_103.85362415010663_1.299405119575554_202403_baseheading129.86_viewheading39.86_4.jpg,30338,1,0.94789153
12,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\13999_103.85207650856266_1.2994063391169464_202406_baseheading220.78_viewheading40.78_3.jpg,13999,1,0.94690305
13,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\56493_103.85809269701087_1.3161970487924277_202406_baseheading222.38_viewheading222.38_1.jpg,56493,1,0.9468612
14,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\14118_103.85376883762122_1.3104453338815893_202402_baseheading315.99_viewheading45.99_2.jpg,14118,1,0.94680935
15,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\100057_103.85041470577491_1.3014165847184669_202406_baseheading124.30_viewheading214.30_2.jpg,100057,1,0.9459855
16,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\18226_103.8550110853748_1.2976897886939944_202406_baseheading216.65_viewheading306.65_2.jpg,18226,3,0.94588727
17,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\162966_103.85890550120995_1.3115554641131009_202406_baseheading311.31_viewheading221.31_4.jpg,162966,1,0.94586164
18,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\91420_103.85892061197403_1.311542181554377_202406_baseheading311.31_viewheading221.31_4.jpg,91420,1,0.94586164
19,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\117217_103.85435328474762_1.2963186105936657_202406_baseheading131.49_viewheading221.49_2.jpg,117217,1,0.94561553
20,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\6726_103.85379209660775_1.29615904037624_202406_baseheading217.30_viewheading217.30_1.jpg,6726,1,0.9455333
21,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\117213_103.85491692479732_1.2958694466463274_202406_baseheading129.83_viewheading219.83_2.jpg,117213,1,0.94547635
22,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\117217_103.85435328474762_1.2963186105936657_202406_baseheading131.49_viewheading41.49_4.jpg,117217,1,0.94512314
23,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\4361_103.84499630166991_1.3206447518636513_202406_baseheading312.16_viewheading222.16_4.jpg,4361,3,0.94470567
24,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\56498_103.85747936658602_1.315537304613236_202406_baseheading221.38_viewheading221.38_1.jpg,56498,1,0.943754
25,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\30342_103.85417634416295_1.2989419564494005_202403_baseheading99.18_viewheading9.18_4.jpg,30342,1,0.9434759
26,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\6627_103.8558768485136_1.2988236646433182_202406_baseheading216.97_viewheading216.97_1.jpg,6627,1,0.9433748
27,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\161093_103.85745619200614_1.3138126460991915_202406_baseheading306.79_viewheading126.79_3.jpg,161093,1,0.9429776
28,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\39797_103.85731222267265_1.3148401965225573_202305_baseheading133.66_viewheading133.66_1.jpg,39797,1,0.94280654
29,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\35671_103.85731222267265_1.3148401965225573_202305_baseheading133.66_viewheading133.66_1.jpg,35671,1,0.94280654
30,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\111159_103.86024591960535_1.3116213347410672_202406_baseheading42.77_viewheading42.77_1.jpg,111159,1,0.94272137
31,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\14116_103.85351881184943_1.3107048463143576_202402_baseheading317.35_viewheading47.35_2.jpg,14116,1,0.94254714
32,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\137134_103.83099232468075_1.3064626436595503_202205_baseheading161.58_viewheading251.58_2.jpg,137134,3,0.94235164
33,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\22495_103.8506105636113_1.2970728997232657_202406_baseheading127.32_viewheading217.32_2.jpg,22495,3,0.94232434
34,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\13999_103.85207650856266_1.2994063391169464_202406_baseheading220.78_viewheading310.78_2.jpg,13999,1,0.9421117
35,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\153189_103.85987123863617_1.31323412822385_202406_baseheading195.12_viewheading195.12_1.jpg,153189,1,0.941389
36,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\14115_103.85339379898996_1.3108346025561932_202402_baseheading315.23_viewheading45.23_2.jpg,14115,1,0.94129515
37,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\9036_103.85159814346109_1.3008316513420495_202406_baseheading123.48_viewheading33.48_4.jpg,9036,3,0.9411735
38,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\160831_103.84851084360055_1.2789802684257174_202406_baseheading301.70_viewheading31.70_2.jpg,160831,3,0.94103885
39,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\117212_103.85505783428397_1.2957571549996998_202406_baseheading126.98_viewheading216.98_2.jpg,117212,1,0.9408404
40,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\6277_103.85576926676326_1.298679127229312_202406_baseheading216.87_viewheading216.87_1.jpg,6277,1,0.9408231
41,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\6626_103.85576926676326_1.298679127229312_202406_baseheading216.87_viewheading216.87_1.jpg,6626,1,0.9408231
42,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\3128_103.85576926676326_1.298679127229312_202406_baseheading216.87_viewheading216.87_1.jpg,3128,1,0.9408231
43,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\70267_103.79284127865655_1.3027869228443947_202503_baseheading305.40_viewheading35.40_2.jpg,70267,3,0.9407566
44,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\87357_103.85825744155521_1.3080956754235948_202406_baseheading133.63_viewheading43.63_4.jpg,87357,1,0.94075483
45,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\12676_103.85825744155521_1.3080956754235948_202406_baseheading133.63_viewheading43.63_4.jpg,12676,1,0.94075483
46,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\84369_103.85825744155521_1.3080956754235948_202406_baseheading133.63_viewheading43.63_4.jpg,84369,1,0.94075483
47,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\161102_103.85739705736843_1.3121123741773737_202301_baseheading217.18_viewheading37.18_3.jpg,161102,1,0.94062966
48,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\72578_103.85565018396717_1.3125486305406269_202402_baseheading322.31_viewheading52.31_2.jpg,72578,3,0.9406169
49,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\6277_103.85576926676326_1.298679127229312_202406_baseheading216.87_viewheading36.87_3.jpg,6277,1,0.94053906
50,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\83035_103.85873524371915_1.3106741857994137_202406_baseheading213.83_viewheading33.83_3.jpg,83035,1,0.94050455
51,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\84821_103.8377621268693_1.2984235975794551_202402_baseheading332.93_viewheading242.93_4.jpg,84821,3,0.9403655
52,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\162982_103.85814334643494_1.3097734714038085_202406_baseheading216.45_viewheading216.45_1.jpg,162982,1,0.9401329
53,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\106878_103.85344055408945_1.3157435389367458_202402_baseheading162.69_viewheading72.69_4.jpg,106878,3,0.9400441
54,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\6283_103.85511167194859_1.2978210448535703_202406_baseheading216.39_viewheading126.39_4.jpg,6283,3,0.93984956
55,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\117212_103.85505783428397_1.2957571549996998_202406_baseheading126.98_viewheading36.98_4.jpg,117212,1,0.93942624
56,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\161101_103.85750762003518_1.3122546443219953_202301_baseheading38.31_viewheading38.31_1.jpg,161101,1,0.93931293
57,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\67191_103.846879455034_1.2752431774262105_202406_baseheading295.68_viewheading25.68_2.jpg,67191,3,0.93929785
58,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\91983_103.85973251999393_1.3120630348739895_202406_baseheading223.70_viewheading223.70_1.jpg,91983,1,0.9392261
59,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\4359_103.84474238306_1.3209004566278872_202406_baseheading314.74_viewheading44.74_2.jpg,4359,3,0.93919474
60,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\48097_103.88309625930941_1.3153544689700132_202406_baseheading162.12_viewheading252.12_2.jpg,48097,1,0.9389612
